ordinal,source_path,target_path,status,source_bytes,source_sha256,target_bytes,target_sha256,notes
1,random/sample/index.html,source/id-ID/random/sample/index.html,complete,8952,9f7b9a075c430efbae92192e131152c6728f7827dc3dde987ce871ec9d6ae35c,11435,f10455daf04ce812f4741c19d4bd77cda3003c3f7ef388563ff1afde37e4803b,natural id-ID; stable IDs; local links through point interval and hypothesis indexes; normalized Pendugaan Himpunan label; published citation titles preserved; HTTPS hardening; Roger L Berger correction
2,random/sample/Introduction.html,source/id-ID/random/sample/Introduction.html,complete,31343,0af72fbf0202413525cae99e696cfa70014a803d6c5ac7a7dcafd1577742414f,36255,93d024c214562d5c423b5b0af49c9c1ac31617d1dca7cd70e609d531759fda5c,natural id-ID; topology and 101 TeX spans preserved; three determinate link repairs; navigation localized through Normal; explicit one-argument bold-symbol macro prevents silent MathJax control-word concatenation
3,random/sample/Mean.html,source/id-ID/random/sample/Mean.html,complete,42746,e21a3da7773a6f7f925b4cb0c583d5331abb1656fe01ed952c8d42b26f238cab,45916,bee0af18dda05972b15fa32129aa4fdf8754b7a9ed6f5048f18c35b5f513ab7a,natural id-ID; topology preserved; 365 TeX spans with five declared repairs; two prose repairs; one link repair; navigation localized through Normal; terminology QA 2026-08-22
4,random/sample/LLN.html,source/id-ID/random/sample/LLN.html,complete,30754,8662dfc55683fa40c79a5d453a450730e2ba151716a20eb61a2db307c33f5e85,34798,0cdc62ab382ed056df3d779a69fcda2aca37e9a07f53d306df93708d39130b82,natural id-ID; topology and 268 TeX spans preserved; five declared mathematical repairs; stable additive IDs; navigation localized through Estimators and Normal; terminology QA 2026-08-22
5,random/sample/CLT.html,source/id-ID/random/sample/CLT.html,complete,40239,ee6dc9f8e9feb14f19f96a0206c3289a4aedfc014f5e3dabf79422e1dc29f9e3,46158,a14208c4431c5791e16a89eab6c5ffa6c4d3e5067dfc2a37bab4942a4a32c54a,natural id-ID; exact topology and 394 TeX spans preserved with 14 declared repairs; 33 stable IDs; local closure through Normal; terminology QA 2026-08-22
6,random/sample/Variance.html,source/id-ID/random/sample/Variance.html,complete,55878,452e2841007fad173229a9bb069a4acdda8e0d0bc6c1632f7239ef585248b0c6,59540,8fe6580df746676dff827cd57b4507941d2c2046c5a417bb4b1b722554910ac4,natural id-ID; exact 827-element topology and 583 TeX spans; 19 declared correction categories with 21 replacements; 64 stable/native IDs; local closure through Normal; terminology QA 2026-08-22
7,random/sample/OrderStatistics.html,source/id-ID/random/sample/OrderStatistics.html,complete,63965,19ff485c600d4294e888c1b3d05ff7eb9196449f958d3325fd72b416aca56d63,68771,f3fc339316b0a4a082ac034f72b54e81b88a6db031574ccdbcb1b02eef260b33,natural id-ID; exact 846-element topology and 569 TeX spans; 48 declared mathematical repairs; 73 stable/native IDs; local closure through Normal plus the completed chi-square hypothesis surface; terminology QA 2026-08-22
8,random/sample/Covariance.html,source/id-ID/random/sample/Covariance.html,complete,75623,1009a5a6a129ee5592aed6c2b914973ae82bb7e7685c477c4c205dbe47fd7072,80832,4e6fcf5c80bbe47c86d5c691b664d6cdf8166433475dc76e9749a04b57dbdf3c,natural id-ID; exact 906-element topology and 795 TeX spans; 31 protected math-span repairs plus one TeX-text localization and five raw-TeX repairs; 80 stable/native IDs; local closure through Normal; terminology QA 2026-08-22
9,random/sample/Normal.html,source/id-ID/random/sample/Normal.html,complete,35940,d9a62017ae3a8488aedac3eceedb15d8b68243ae60894104ab88564ace25ff79,38395,acfba98e96a35fd02d95d224155db7b5c949c22c594199e8bc7997a6917548a0,natural id-ID; exact 380-element topology and 380 TeX spans; nine declared mathematical repairs; finite-variance CLT hypothesis and corrected independence proof; 44 stable/native IDs; local closure through point index plus interval and hypothesis Normal and BivariateNormal surfaces; terminology QA 2026-08-22
10,random/point/index.html,source/id-ID/random/point/index.html,complete,8311,b0e3e9e5f55bfd4ebac0047dafff725628d6a0ca6e638d7a2847095b311d637c,10918,94b1667bcda20460d50bf5a5c0a41e9b251d5cd0aba82215c6aeafa8224ab2a4,natural id-ID; exact 155-element topology and zero math spans; formal pendugaan/penduga terminology; six additive stable IDs; published citation titles preserved; local previous-chapter Estimators Moments Likelihood Bayes Unbiased and Sufficient navigation plus admitted interval and hypothesis chapter links; Roger L Berger correction; terminology QA 2026-08-22
11,random/point/Estimators.html,source/id-ID/random/point/Estimators.html,complete,37864,10914ffca9034209da0111918cfb534d60982bde0bba142a11d61d43114c6e2a,44020,23f6940603401a83919b84a9360ddcf8c6fdc735a3a8649004004b1e2aea66b2,natural id-ID; 380 source versus 381 target-core elements with the sole additive Indonesian summary restoring a usable label to the source's unlabeled details disclosure; 432 TeX spans; 15 declared mathematical repairs plus malformed-anchor and M&M answer-order repairs; 30 additive unit IDs and 14 additive section/page IDs; explicit zero-denominator definitions for correlation and regression; complete local point-chapter navigation including Sufficient; 33 units and 15 disclosures; terminology QA 2026-08-22
12,random/point/Moments.html,source/id-ID/random/point/Moments.html,complete,48492,43755b5bee6179fca8d7c1c964e7c6a9bb1a9de6f3916130100c69e666a3194e,57149,094f2a7873e044eefa74ff8dc10314db7e7fe1692ee0d699f19cc18e25e617bb,natural id-ID; exact 440-element topology and 649 TeX spans; 12 declared mathematical repairs plus four paragraph closures and bounded theorem/domain corrections; 31 additive stable IDs; 37 units and 29 disclosures; complete local point-chapter navigation including Sufficient
13,random/point/Likelihood.html,source/id-ID/random/point/Likelihood.html,complete,49551,f8c94e3de84f7a025fd32395169938f37e7fd7958d5a8be9d56b54ed307d6ffd,58031,74f6de9f13552a69eba9e8dd9f9331a135b6215bbf68eaa6f2100776044182cd,natural id-ID; exact 397-element topology and 589 TeX spans; 36 declared mathematical repairs plus one TeX-text localization; eight additive stable IDs; 35 units and 22 disclosures; 32 href-delta categories with complete local point-chapter closure including Sufficient
14,random/point/Bayes.html,source/id-ID/random/point/Bayes.html,complete,49645,96904b1fd4ab905bbffa62bd5cc0d965b3c969e543a983124e968718ed25d550,56499,66c14a5fc64e97f9d09d6dffa32b67f6f3a55479dbb64a6d3a4e6993802b3949,natural id-ID; exact 352-element topology 625 delimited TeX spans and eight protected raw align environments; 17 declared mathematical/notation repairs plus bounded posterior-normalizer prior loss posterior-risk joint-L2 martingale and MLE-domain qualifications; 26 additive stable IDs; 31 units and 23 derivation disclosures; 30 legacy href-delta categories across 36 occurrences after local Sufficient closure; four simulation prompts and no conventional exercise corpus; complete local point-chapter navigation and sufficient-statistic prose link; terminology QA 2026-08-22
15,random/point/Unbiased.html,source/id-ID/random/point/Unbiased.html,complete,28635,0d9765c5c7b5b8a54b29fc45c3a435d20e2a9200e027609658345087dedcd531,31696,3c2cfcb97a93cd3ed2fdbb5fab2c7325e568a2b9ea8348fd4193f1f7431c0bfb,natural id-ID; exact 306-element topology 243 delimited TeX spans and four protected raw align environments; six declared mathematical repairs; 52 native/additive IDs; 38 units and 10 derivation disclosures; 33 legacy href-delta categories across 34 occurrences after local Sufficient closure; regularity equality Fisher-matrix beta uniform and BLUE qualifications; two source-designated exercises with one short hint and no complete worked solutions; complete local point-chapter navigation including Sufficient; terminology QA 2026-08-22
16,random/point/Sufficient.html,source/id-ID/random/point/Sufficient.html,complete,57507,4d7402f2a960ea2b4232e57e4ee5992ac29801b9269f300f17f8e83074d5a0e4,60895,255ac88f235727301ee341eef79b9578910be88b7e2e038d4dfecc0ed686513c,natural id-ID; exact 436-element topology and 804 delimited TeX spans; 18 protected math repairs plus four TeX-text localizations; 51 native/additive IDs including deterministic unit IDs and gam3 duplicate-id repair; 39 units and 26 derivation disclosures; local next relation to the admitted interval chapter plus two occurrence-specific local corrections; factorization minimal-sufficiency completeness ancillary Basu and special-distribution coverage; source exercises are simulation prompts with no complete worked solutions; terminology QA 2026-08-22
17,random/interval/index.html,source/id-ID/random/interval/index.html,complete,7789,85fcad0292636fbae0935ebb775a87b9e4dbdf33692b5e2823b353163d168403,10426,3b63ca86e9f01b14417b52008244a36ba266017b7d9999aa8bf2f21031d7ccc1,natural id-ID; exact 148-element topology and zero math spans; preserves source title versus h1 distinction as Pendugaan Interval versus Pendugaan Himpunan and the summary's one-variable versus two-variable normal-model distinction; formal tingkat kepercayaan and variabel pivot terminology; six additive stable heading IDs; all five admitted interval topic links and the completed hypothesis next chapter local; published citation titles preserved; HTTPS hardening; Estimation the Normal Model label and repeated Roger L Berger defects corrected; terminology QA 2026-08-22
18,random/interval/Introduction.html,source/id-ID/random/interval/Introduction.html,complete,24577,e5e6cb402c737c1d63a58ef4509975633f9cfa483f8f0afa8860ff9b6dbb4ee3,29222,08a909091adb7a04bb1bf65f8a0cfb68c93e8a23ecb0ab9e9af622d751a5737c,natural id-ID; exact 249-element core topology and 290 protected TeX spans; eight declared protected-math repairs plus measurable-set n-at-least-two zero-slope coverage and one-sided-proof qualifications; 31 unique IDs with all 21 units addressable; seven disclosures and six figures; target-only 2150-byte Tails-id.svg redraw SHA-256 b218a05a39687f1e5c7bf0a14c1702b49e6ce24129e378ede2bcfa7a9fe2c151 corrects visible lambda-to-theta defect and adds Indonesian labeling; useful figure descriptions; verified exponential answers; translated sample and complete interval-chapter links local; terminology QA 2026-08-22 plus interval glossary extension 2026-08-23
19,random/interval/Normal.html,source/id-ID/random/interval/Normal.html,complete,40632,21c59dd27f38c17148de5af35d53d94a01c51cd4f230c81d75e91173a9917586,43462,9beed9d4ef4f2afbdea26cd50024568045f7fb32aa44052991ba83aedef3502d,natural id-ID; exact 401-element core topology and 380 protected TeX spans; seven declared protected-math repairs covering four one-sided event inequalities the V-pivot proof a rounded confidence endpoint and the peach margin; 54 unique native/additive IDs; 35 units and 19 derivation disclosures; five instructional figures with specific Indonesian descriptions and stable IDs on the two previously anonymous intersection figures; n-at-least-two zero-quantile and robustness qualifications; all ancillary links direct official HTTPS and completed sample point interval and parallel hypothesis links local; terminology QA 2026-08-22 plus robustitas decision 2026-08-23
20,random/interval/Bernoulli.html,source/id-ID/random/interval/Bernoulli.html,complete,27886,764f961e4f0db2562a3b1e42a446d3b5b3854cd8dc3468d017ee544f3aa87750,32226,fbc7286cc20c168bd728ffa55aca23d469da995fbc8520a84f908654be9e51b7,natural id-ID; exact 285-element core topology and 238 protected TeX spans; five occurrence-bound formula repairs plus corrected numerical answers for coin sample-size Buffon and production-line exercises; 37 unique native/additive core IDs with all 24 units addressable; 16 disclosures; Wilson Wald simplified and conservative one/two-sample procedures; explicit boundary expected-count approximation Wald-degeneracy pairing and method-identification guards; complete interval and parallel hypothesis navigation local and ancillary links direct official HTTPS; no imported data
21,random/interval/BivariateNormal.html,source/id-ID/random/interval/BivariateNormal.html,complete,30167,fde8da8c5d1e7b7d583f9eb47dac719234f1a63072c0333bdb815c117078211a,32867,2ba7e95b6ecfb3be8bf55d40a713565e017d08c343c6b15efedce173adbbe0af,natural id-ID; declared 303-to-304 core-element delta solely restores one missing paragraph opening; 267 protected TeX spans and one byte-identical raw align block; 30 unique core IDs with all 21 units addressable; 12 disclosures; Fisher-F reciprocal-quantile tail-event variance-ratio limit interval-moment normalized-ratio and exercise-answer repairs; pooled-versus-paired and sample-size rigor guards; corrected external Iris link without redistribution; complete interval and parallel hypothesis navigation local
22,random/interval/Bayes.html,source/id-ID/random/interval/Bayes.html,complete,23436,f89dfc9ed4b9475b2cd83b467f19cfbfa6164600f14567f4237fdae9076d1cb7,26647,b5239a340d36d4c485f308c2ce9c45f92c91b7a97258997b8303083b358239b8,natural id-ID; exact 206-element core topology and 281 protected TeX spans; eight occurrence-bound mathematical repairs covering attainable posterior mass Bernoulli closure Poisson parameter Alpha t interval sample-vector normal-density and posterior-moment notation; 20 unique core IDs with all nine units addressable; five disclosures; posterior objects use himpunan and interval kredibel Bayes while frequentist confidence terminology remains distinct; flat-prior atomic-coverage and rounded-beta-data guards; complete interval navigation and hypothesis next chapter local and external Alpha data not redistributed
23,random/hypothesis/index.html,source/id-ID/random/hypothesis/index.html,complete,8129,4965a9bfd13b94d932cdd44268b3322078f1e9fce934173c84e170c6a6d6ed1f,11004,b62fab08942335d949d1215343b940deae14c53d0838546b822f94bc525a1f92,natural id-ID; exact 155-element core topology and zero math spans; six deterministic stable heading IDs; 80 nonblank core text nodes preserved; all six instructional topic links local; citation titles preserved; ancillary links converted to official HTTPS; Roger L Berger bibliographic typo corrected; exact model provenance included
24,random/hypothesis/Introduction.html,source/id-ID/random/hypothesis/Introduction.html,complete,20738,fb05a9d71b55ba113e2f71afa052bc059b35f2c5b6946012c19ecbc693faab1a,22835,9f7f70b22feb389a995fc6a672a1205bdb8d1b9be5904d20b393d92cfdf572b6,natural id-ID; exact 219-element core topology and 213 protected TeX spans; 12 native units and one disclosure preserved; 24 unique native/additive IDs; six bounded repairs covering paragraph closure vector endpoint supremum significance random-confidence-set notation coverage inequalities and interval notation; audited common-distribution terminology plus natural significance/confidence-level phrasing; complete hypothesis navigation local and ancillary links official HTTPS
25,random/hypothesis/Normal.html,source/id-ID/random/hypothesis/Normal.html,complete,43435,fd7bc50171fc51310f41e9132005b66cdbbd31bf507a70a0246394b05a379ab2,45674,950c0a21622a7a4fc0619e5dc6880cdfa6925ad6e43fac4013d4e3cffb7ccf14,natural id-ID; exact 463-element core topology and 459 protected TeX spans; 45 units 20 disclosures and 55 unique native/additive IDs; 30 occurrence-bound mathematical repairs covering one-sided duality power labels minimizer sample-size design Student and chi-square laws Gamma scale robustness and numerical answers; audited significance-level power and likelihood-ratio terminology; four localized navigation alts; all applications and data remain official HTTPS; complete translated chapter links local
26,random/hypothesis/Bernoulli.html,source/id-ID/random/hypothesis/Bernoulli.html,complete,23703,a3691cdf98c1b182bf434ec94479cfea344e1e555c5928ee74555ff09ce0e603,25254,168ff2a166b5edb072769ce0f864643c885ee7d21d86fdaa2d5b972d6f8b63b6,natural id-ID; exact 267-element core topology and 233 protected TeX spans; five occurrence-bound mathematical repairs; 24 units 13 disclosures and 36 unique native/additive IDs; discrete-level and normal-approximation guards; strict-quantile and finite-mean conditions for sign testing; sign-convention answers independently checked against frozen M-and-M data; broken Fisher-data link corrected to official Iris data; complete hypothesis navigation local and ancillary data official HTTPS
27,random/hypothesis/BivariateNormal.html,source/id-ID/random/hypothesis/BivariateNormal.html,complete,26540,4a1e7607fc2ca8d18704b5cf8a9edecb5bc45556399ea6bb9ed4965c9d7669f8,28967,989484b9977c0b4c45fd0d9a92e7395e13afac36d0592b190e8c1e450cbdb371,natural id-ID; exact 255-element core topology and 300 protected TeX spans; 17 units 13 disclosures and 25 native/additive IDs; 26 declared mathematical corrections covering sample endpoints two-sample variance pooled-Student laws F laws confidence bounds and numerical exercises; Welch cautions added where equal variances fail; broken Fisher-data link corrected to official Iris data; complete hypothesis navigation local and ancillary links official HTTPS
28,random/hypothesis/Likelihood.html,source/id-ID/random/hypothesis/Likelihood.html,complete,21772,60b047835a3f644cd2317c8ab984b8d41ae7669f53c1d32a79705942670b9b04,27218,6820733f2c4be519ccf75c4d63f3aad7b3a1dc7c19eb50c14dc150c3a7c4cad1,natural id-ID; exact 212-element core topology and 252 protected TeX spans; 18 units seven disclosures and 29 native/additive IDs; eight declared mathematical repairs plus guards for domination zero likelihood equality-set randomization attainable discrete levels nuisance parameters and predeclared hypotheses; complete hypothesis navigation local and ancillary links official HTTPS
29,random/hypothesis/ChiSquare.html,source/id-ID/random/hypothesis/ChiSquare.html,complete,39651,379cf5939801c94b251884c0c82f0e6efc7ecce35cec11a645881d7ca9c7a6aa,43445,60d8904caea827a840db04aad5f7f651ab5c6ed78672e8f0c7fcd577604ff24e,natural id-ID; exact 417-element core topology 433 protected TeX spans and two byte-identical raw align environments; 29 units 12 disclosures four tables and 48 native/additive IDs; three formula or numerical repairs plus explicit fixed-dimension expected-cell degrees-of-freedom identifiability and predeclared-bin qualifications; independently verified supplied numerical answers and corrected the near-zero contingency-table P-value; all completed Random dependencies local and external data surfaces official HTTPS links only
